x,y,height, bank_angle
388.626754,714.400661,-0.067206,0.000000
398.761733,714.268933,-0.050702,0.000000
408.896648,714.132119,-0.035382,0.000000
419.031544,713.993747,-0.021035,0.000000
429.166454,713.856478,-0.007327,0.000000
439.301377,713.720310,0.005744,0.000000
449.436307,713.584694,0.018283,0.000000
459.571199,713.446098,0.030119,0.000000
469.706143,713.311337,0.041406,0.000000
479.841051,713.174138,0.052417,0.000000
489.976021,713.041387,0.063612,0.000000
500.110997,712.909174,0.075410,0.000000
510.246015,712.779950,0.088143,0.000000
520.381030,712.650847,0.102177,0.000000
530.516003,712.518576,0.117669,0.000000
540.650904,712.380986,0.134317,0.000000
550.785856,712.247468,0.151849,0.000000
560.920820,712.114938,0.169831,0.000000
571.055899,711.991225,0.188142,0.000000
581.191051,711.874578,0.206778,0.000000
591.326345,711.773881,0.225852,0.000000
601.461670,711.678421,0.245276,0.000000
611.596998,711.585097,0.265188,0.000000
621.732251,711.481465,0.286047,0.000000
631.867361,711.364886,0.308766,0.000000
642.002094,711.221124,0.334597,0.000000
652.136471,711.055539,0.365155,0.000000
662.270352,710.863248,0.401776,0.000000
672.403721,710.647898,0.444609,0.000000
682.536662,710.416950,0.493779,0.000000
692.669464,710.185749,0.549126,0.000000
702.801953,709.944537,0.610682,0.000000
712.932678,709.649061,0.678230,-0.006690
723.058357,709.229240,0.750970,-0.013381
733.172178,708.604562,0.827786,-0.020071
743.264409,707.706403,0.907884,-0.026762
753.322601,706.491170,0.991135,-0.033452
763.331240,704.926393,1.078036,-0.040142
773.270222,702.975350,1.167648,-0.046833
783.114414,700.596524,1.258071,-0.053523
792.839158,697.769637,1.346831,-0.060214
802.430767,694.514581,1.430854,-0.066904
811.879352,690.862077,1.508751,-0.073595
821.178526,686.843893,1.580480,-0.080285
830.315694,682.469114,1.647043,-0.086975
839.278504,677.747446,1.708960,-0.093666
848.056023,672.689355,1.766451,-0.100356
856.631134,667.295686,1.819575,-0.107047
864.990579,661.573684,1.868854,-0.113737
873.117877,655.526277,1.914726,-0.120427
881.004538,649.168424,1.957407,-0.127118
888.637570,642.508061,1.997302,-0.133808
896.004952,635.555364,2.033979,-0.140499
903.098710,628.322903,2.068101,-0.147189
909.906390,620.820866,2.099810,-0.153880
