x,y,z,bank_angle
453.481392,357.375994,0.021136,0.000363
461.623543,357.326745,0.183822,0.000789
469.594824,357.271624,0.363022,0.001261
477.740429,357.219525,0.560836,0.001786
487.864630,357.175390,0.869911,0.002625
498.167505,357.133206,1.212090,0.003557
506.588876,357.082883,1.453297,0.004205
514.939031,357.024322,1.720770,0.004927
523.136670,356.972431,2.014499,0.005723
533.202765,356.925857,2.473216,0.006982
543.528187,356.877897,2.975627,0.008364
552.095568,356.815922,3.327550,0.009321
560.748229,356.749144,3.714853,0.010378
569.089256,356.696427,4.140616,0.011542
579.223453,356.654203,4.807616,0.013384
587.174413,356.616458,5.274660,0.014664
594.895440,356.579490,5.785861,0.016067
600.492047,356.549545,6.056014,0.016791
608.309089,356.521291,6.614123,0.018326
616.553613,356.494038,7.224596,0.020008
627.166060,356.455948,8.180440,0.022663
635.731502,356.408847,8.848667,0.024508
643.979695,356.346892,9.579640,0.026528
651.587252,356.285803,10.379057,0.028741
658.888048,356.227122,11.178828,0.030953
666.139896,356.163971,12.053536,0.033375
673.670038,356.092505,13.008878,0.036021
681.431716,356.006839,13.964978,0.038667
689.334007,355.926273,15.007737,0.041554
695.129057,355.848089,15.558027,0.043048
702.498603,355.782026,16.695822,0.046193
707.599691,355.704135,17.296075,0.047816
714.742599,355.590334,18.536877,0.051246
720.300459,355.410386,19.192034,0.053027
726.182902,355.141266,19.848281,0.054816
733.645569,354.800034,21.304556,0.058874
740.907073,354.390043,22.761910,0.062948
749.653096,353.914814,25.016410,0.069299
755.053990,353.301141,25.833411,0.071606
760.624844,352.540715,26.651473,0.073945
764.384140,351.696964,26.674428,0.074027
770.494517,350.818896,28.450345,0.079128
776.379518,349.869168,30.226943,0.084267
784.220579,348.695135,32.960325,0.092234
789.640583,347.284744,33.942085,0.095247
796.838935,345.686996,35.926862,0.101240
802.346011,343.945691,36.955652,0.104535
807.602828,342.199914,37.984463,0.107861
812.559480,340.426870,39.061112,0.111357
817.211347,338.681999,40.137440,0.114880
823.620311,336.707534,42.311185,0.121774
828.593218,334.551143,43.433918,0.125660
833.676464,332.181754,44.556262,0.129665
838.483273,329.875407,45.721012,0.133829
843.083159,327.572294,46.885180,0.138048
847.429462,325.334961,48.048705,0.142300
850.277310,322.851033,48.070941,0.143169
854.677490,320.132984,49.274164,0.147821
860.898145,317.091381,51.699919,0.156539
866.909351,314.089102,54.125050,0.165396
871.258411,311.119245,55.367952,0.170616
873.695719,308.243861,55.387089,0.171926
876.194599,305.079335,55.405632,0.173398
880.266233,301.664406,56.678397,0.179160
884.379608,297.969876,57.950615,0.185194
888.388822,294.165997,59.222269,0.191432
890.729618,290.256596,59.238578,0.193593
892.820789,286.514102,59.254291,0.195707
894.646760,282.974939,59.269366,0.197752
897.724352,279.615532,60.569441,0.204283
900.783086,276.013546,61.868882,0.211125
903.798042,272.210520,63.167735,0.218279
905.260667,268.213587,63.180366,0.221050
906.571883,264.152767,63.192434,0.223956
907.764872,259.918675,63.203903,0.227089
908.789746,255.797930,63.214639,0.230237
909.631056,251.803902,63.224514,0.233393
910.267310,248.026018,63.233396,0.236484
910.804295,243.915468,63.241279,0.239974
911.241275,239.536411,63.248158,0.243833
911.587009,234.870125,63.254033,0.248109
911.805707,230.191358,63.258852,0.252575
911.916089,225.495041,63.262586,0.257246
911.955047,220.831416,63.265226,0.262072
911.956292,216.201336,63.266787,0.267050
911.949646,211.559053,63.267281,0.272229
911.945622,206.817947,63.266717,0.277717
911.934230,202.033664,63.265110,0.283474
911.905656,197.070532,63.262482,0.289694
911.857104,192.148199,63.258872,0.296129
911.793869,187.043877,63.254380,0.303094
911.733196,182.472443,63.249124,0.309597
911.678404,178.196238,63.243276,0.315916
911.633673,174.622707,63.236957,0.321385
911.587892,170.919689,63.230349,0.327233
911.538655,167.091966,63.223619,0.333482
911.488862,163.139181,63.216917,0.340159
911.436765,159.326754,63.210344,0.346830
911.382953,155.701577,63.204008,0.353393
911.317908,151.785761,63.198096,0.360730
911.255828,147.888073,63.192757,0.368296
911.197609,144.035062,63.188089,0.376041
911.149797,140.467312,63.184124,0.383458
911.097138,136.614466,63.180965,0.391745
911.041120,132.733406,63.178703,0.400399
910.977148,128.836051,63.177429,0.409417
910.902302,125.240087,63.177169,0.418052
910.788095,121.274314,63.178052,0.427959
910.615776,116.997232,63.180247,0.439137
910.275038,111.870055,63.184020,0.453365
909.799861,106.720828,63.189507,0.468628
909.164028,101.522241,63.196775,0.485169
908.585845,97.613144,63.205657,0.498412
907.987695,94.380481,63.216012,0.510042
907.459119,92.033170,63.227616,0.518945
906.804237,89.452770,63.240357,0.529205
906.042022,86.745762,63.254090,0.540519
904.756874,82.844713,63.268743,0.558078
903.105365,78.315526,63.284176,0.580174
899.597726,73.269032,62.014509,0.592739
896.270568,69.050316,60.745170,0.601755
893.030925,65.362986,59.475949,0.608400
891.370173,62.174929,59.492389,0.628962
889.596784,59.000456,59.508698,0.651123
887.722481,55.846226,59.524783,0.674970
885.756331,52.716021,59.540551,0.700613
882.130592,49.579125,58.301190,0.709491
878.221162,46.247247,57.061503,0.721305
874.002780,42.735327,55.821505,0.736551
871.228771,39.290141,55.835935,0.775151
866.822131,36.104307,54.626820,0.791402
862.494240,33.218386,53.417242,0.805886
856.387429,30.211375,51.025634,0.799824
851.910635,27.342601,49.856695,0.819495
847.364724,24.571006,48.687268,0.840470
842.809132,22.112115,47.558215,0.858065
837.942276,19.575332,46.428607,0.880695
832.784945,16.994631,45.298464,0.908764
827.582646,14.505701,44.210704,0.939876
822.515226,12.275103,43.122432,0.969412
816.069536,10.292558,40.982996,0.958353
810.917547,8.280595,39.940802,0.992398
803.833719,6.234676,37.895418,0.991274
798.197252,4.277941,36.900094,1.035211
791.026665,2.545555,34.947918,1.026565
785.699462,1.082616,33.997682,1.060282
777.440433,-0.338936,31.294590,1.007149
770.594128,-1.682924,29.546868,1.011889
763.684101,-2.907605,27.798224,1.015722
757.924635,-3.908822,27.004528,1.057929
752.490313,-4.672923,26.209726,1.091482
745.048680,-5.324721,24.668548,1.062958
739.151284,-5.845436,23.922207,1.100398
731.106708,-6.286861,22.481159,1.081630
723.256720,-6.597679,21.144395,1.058537
715.605670,-6.805866,19.806470,1.029221
708.107013,-6.917824,18.574233,0.993426
700.050284,-6.977991,17.442222,0.966499
691.819694,-7.005542,16.309269,0.941192
683.432299,-7.035030,15.268727,0.918461
675.479417,-7.051972,14.313111,0.890750
667.272823,-7.053759,13.356544,0.863242
658.905229,-7.036632,12.478988,0.838644
649.878524,-6.989510,11.674847,0.807079
638.962421,-6.940382,10.524561,0.741950
627.991048,-6.887552,9.471002,0.664971
619.381432,-6.844446,8.794745,0.626608
610.589382,-6.794331,8.175002,0.588919
601.742186,-6.742211,7.606794,0.546898
590.849343,-6.687094,6.796888,0.479030
580.061642,-6.634901,6.055049,0.411098
569.456903,-6.576973,5.376301,0.342325
560.891365,-6.517689,4.938519,0.301914
552.370828,-6.453558,4.539039,0.261363
