E,N,U
980.4154990069458,2.824088814755669,457.2216416812511
980.400496026561,2.7097523137545636,447.89002127566437
980.4066204249632,2.5783723338393543,438.9455031461617
980.4149480426902,2.484019818931017,429.4014898895531
980.5132792213817,2.4315820858229245,420.7250338258479
980.7070566887367,2.2911650480887715,411.31632352980716
980.8508487972047,2.234795253240293,401.05804797742326
980.8902951101317,2.134401843469675,391.17917209069907
980.7132640352747,2.0619999794241153,381.74479386804956
980.6350908897502,1.9985394615500809,372.81570216684946
980.551337671043,1.9091090458619533,363.15350906103384
980.4720566870906,2.023678629140477,353.2147016727379
980.3751364423078,1.9650674359612594,346.3881354002452
980.2438174621279,1.9634458647360589,339.719155924395
980.1613437469409,2.000835684187848,332.55344934384175
980.086637009813,2.070236719046136,324.9860802573061
980.0119313204302,2.1046300193351044,317.3938727775754
979.9194442336783,2.112040195012696,309.3237790255204
979.8014491555801,2.2214373146926505,301.39757036971935
979.6324292635123,2.35578582238071,294.48451580138004
979.4422749556733,2.4241709032659173,286.6636472783739
979.403128152901,2.4985325389216655,278.6278101297289
979.3484408432569,2.4928766537096863,270.82320480093614
979.1472324817811,2.6082128521545656,263.5264698260522
979.0503988166663,2.8495531250462136,255.51890240552297
978.8680576794113,2.8858820972334343,247.8830177776761
978.6457582813346,2.980211078321929,240.16748853465566
978.4601078931694,3.1385369311661293,232.12651801390987
977.9179608038255,3.532053467916171,219.88479603691604
977.6013470579499,3.680329180760566,213.1875587722811
975.8399490810077,3.9051165143894195,197.0936532881331
974.950422301587,4.0774563834224296,190.38529375184646
973.9754263713103,4.148757997636039,185.20650913804963
972.6973014608968,4.237115767677778,179.5250082544021
971.8089595573024,4.34735402604565,175.84068426504732
970.3032139374409,4.363733618548906,170.3141963167291
968.4521448712246,4.43718446921082,163.86191732638179
966.2746351973035,4.544690708769338,156.8872219022038
958.3652974271988,4.411311560294337,138.53412280669463
955.765893182205,4.493830755075976,132.49463733303958
952.6346039218072,4.3894325045486084,125.96613177828934
949.2812768011889,4.457060235424365,119.38110344879246
945.4926872924369,4.441746183965904,112.67874328714746
941.4709381581242,4.462456285824601,106.04061261829217
937.3525762095749,4.34716974056272,99.49496858443104
932.796765707557,4.417946390407792,92.36952189691263
928.1210410987169,4.438725085076783,85.56094695760497
922.498205374643,4.527637263032432,78.2016882807935
917.2551033411571,4.491471740155703,71.69456440854492
911.6167252327118,4.460352898782105,65.09151457244442
905.8850880681889,4.429230900807397,58.99032619811019
899.9025336814232,4.503133224781038,52.911398666996185
893.6212965564916,4.539066405268784,46.79049771499204
887.3456033702984,4.469984346954618,41.04470502298134
880.9699935904149,4.455902335393148,35.73568663814693
873.4185352778418,4.452973641178744,29.8811133165036
866.7642425207213,4.4629045097286735,25.050826153296413
859.7690808728495,4.493870814423474,20.229095946507364
852.1332428427895,4.431911546839615,15.44418488458281
844.9260084107938,4.429881899067311,11.082345710218718
837.9574977671894,4.407809137210052,7.207813443376665
830.820214237642,4.361748356632063,3.478869444571206
823.2476819776869,4.339733733343564,-0.1533033580923444
814.0840250204691,4.258911591932645,-4.181161356234199
805.8275197543703,4.185959695105794,-7.538431272923212
797.763104154598,4.108972011398862,-10.428944905167619
789.6886941649486,4.014974753348326,-12.972603474516653
781.0280257756814,3.9290386886974034,-15.327849970790027
772.3606899123802,3.797091875998035,-17.2805706028199
763.7499827019284,3.674126824690461,-18.91041384218302
755.2014554165874,3.5601435763276186,-20.146293153211584
745.9178783888848,3.416236055096931,-21.013046375064725
737.6447156839668,3.3071987156037608,-21.608303365047103
729.4703732206553,3.199140027956105,-21.973175299978152
721.5192115165119,3.107045507790531,-22.33804740629497
713.783457220659,3.0279175258652913,-22.516212389229498
706.0266101497747,2.9827829068774463,-22.57276112312777
697.5102827578075,2.870722107951792,-22.638733003566497
687.2163006357182,2.7608416772726514,-22.846882382517123
677.8783242200207,2.669843184565252,-22.945402708930857
668.8134885005663,2.5438021245668665,-23.085032422132272
659.8807846874188,2.428734775295311,-23.132164274021903
650.3973544734009,2.339711804191552,-23.015713679602687
640.3876160245865,2.1787275574035334,-22.936948507008626
630.0525490085768,2.025760040994385,-22.78795403186975
619.9362279884499,1.9557542545198885,-22.6852079605623
609.2269875644723,1.907789196976978,-22.57989404307762
599.9756239205954,1.85066867991776,-22.504551906951782
590.8708242911084,1.7805211365772493,-22.418075018901394
581.4506941296997,1.7773897212805423,-22.236530907908215
571.4631857500312,1.8342950462125032,-22.141491775850913
561.2291671783449,1.7262064588539943,-22.040457227757507
551.176144742367,1.7360858488247004,-21.905163364842497
541.6782891403063,1.7059022511793955,-21.726187237438797
531.7651658983893,1.6687391537774943,-21.559202469415915
522.8091594578099,1.6634814734432553,-21.554945250612775
513.4112351049919,1.6292471397144936,-21.46932379665124
504.0821488919804,1.555993604267485,-21.34259083600732
494.53766735080626,1.614743033719435,-21.245835394127152
484.9709716513578,1.5834803841630958,-20.98292220465347
475.76846657685655,1.529175545269652,-20.893873104004154
466.92127233290375,1.4958312032418917,-20.842508138819095
462.6486809696005,1.4711434603157727,-20.809973309126406
453.3473539604081,1.3858135158458822,-20.676386729756654
444.26477641771925,1.4704544772854717,-20.611318614718307
430.4421447559796,1.3914054128282771,-20.402372730651038
421.19744964977826,1.3620248365637053,-20.20112258975869
412.3347092797917,1.286605511303776,-20.17973347990889
403.032279365916,1.2922020836029162,-20.03929364099533
392.8948714528643,1.2628368859544992,-19.8303362379054
383.4614196430017,1.2314127327285576,-19.751563269231667
374.50874450700303,1.1889465080943467,-19.606838874252
370.0185275727125,1.1622093433005602,-19.57858598805003
360.9847995539441,1.1437285571971927,-19.512658917981074
352.07987204453207,1.1462281500803329,-19.337099999273853
343.38479737476416,1.1157036665305782,-19.25489816980567
333.2751516357779,1.1262418780563053,-19.067350604940682
323.5097050974195,1.004746057642933,-19.036540571484764
314.01740545712437,0.9432220231457222,-18.920936487060473
