x,y,z,bank_angle
-87.351679,720.534876,-0.401868,-0.040076
-78.486744,720.412701,-0.408555,-0.038330
-69.447300,720.296789,-0.414817,-0.036468
-61.748959,720.195422,-0.420944,-0.036422
-53.829289,720.105740,-0.426521,-0.035273
-45.800807,719.999203,-0.431193,-0.033598
-36.228399,719.886384,-0.434206,-0.032697
-26.933762,719.767025,-0.436279,-0.031504
-17.891357,719.645264,-0.436956,-0.030220
-8.859131,719.501234,-0.437203,-0.028821
0.338723,719.389165,-0.437028,-0.027323
9.654644,719.292360,-0.436681,-0.026232
17.300249,719.224548,-0.436034,-0.026417
25.115546,719.116891,-0.434920,-0.025812
33.089620,718.985950,-0.433297,-0.024813
42.621315,718.852581,-0.430228,-0.024709
51.825092,718.745653,-0.425889,-0.024389
60.815499,718.632465,-0.420370,-0.023986
69.938221,718.522405,-0.413858,-0.023644
79.363880,718.393187,-0.407315,-0.023206
88.822295,718.281525,-0.400398,-0.022880
98.284966,718.157157,-0.393551,-0.022482
107.501698,718.048373,-0.386729,-0.022160
116.649218,717.939596,-0.380145,-0.021627
125.583925,717.840260,-0.373634,-0.021046
134.543057,717.714799,-0.366884,-0.020713
143.799575,717.588025,-0.360342,-0.020472
150.867986,717.476443,-0.355413,-0.020557
157.899572,717.379713,-0.350171,-0.020425
164.595281,717.289867,-0.344601,-0.020373
173.455777,717.153425,-0.337577,-0.020411
182.637534,717.032512,-0.331134,-0.020391
191.937725,716.903308,-0.325068,-0.020334
201.380226,716.768812,-0.318336,-0.020136
210.517384,716.643195,-0.310245,-0.019923
219.575710,716.531861,-0.301051,-0.019778
228.633113,716.454644,-0.291404,-0.019711
237.705136,716.378710,-0.281915,-0.019697
246.846739,716.282786,-0.271919,-0.019485
254.405738,716.187579,-0.263391,-0.019965
262.143128,716.052243,-0.254289,-0.019974
269.832961,715.943606,-0.245180,-0.019881
278.974932,715.819846,-0.234225,-0.020122
287.791205,715.717528,-0.223523,-0.020207
296.614509,715.595940,-0.212682,-0.020163
305.474084,715.479772,-0.202408,-0.020179
314.186541,715.372470,-0.191308,-0.019981
321.063793,715.283753,-0.182083,-0.020399
327.996378,715.193605,-0.171290,-0.020677
335.006498,715.074756,-0.159642,-0.020866
343.717845,714.956464,-0.145136,-0.020788
352.505804,714.828459,-0.130054,-0.020454
359.783704,714.739276,-0.117847,-0.020928
366.868591,714.660247,-0.105382,-0.021194
373.755283,714.587518,-0.092693,-0.021073
382.193488,714.488808,-0.077460,-0.021234
390.763822,714.380236,-0.062514,-0.021302
399.376163,714.258098,-0.048524,-0.021233
408.133220,714.155504,-0.035445,-0.021198
417.012227,714.023634,-0.023096,-0.021155
425.986167,713.891328,-0.011462,-0.021209
434.917547,713.769590,0.000088,-0.021258
443.143677,713.668045,0.011096,-0.021294
451.329095,713.575068,0.021618,-0.021065
459.662741,713.445819,0.031145,-0.020792
468.632797,713.319225,0.040672,-0.021067
477.757190,713.181912,0.050210,-0.021529
487.142331,713.081832,0.060383,-0.021774
496.650719,712.959901,0.070671,-0.022113
505.993296,712.836415,0.081584,-0.022272
514.990742,712.712676,0.093261,-0.022397
524.097373,712.592355,0.106039,-0.022415
533.171068,712.496875,0.120576,-0.022380
542.263635,712.376984,0.136502,-0.022409
551.528303,712.234523,0.153305,-0.022258
560.754108,712.091064,0.169580,-0.021910
569.826505,711.985449,0.185810,-0.021355
578.651484,711.906264,0.201546,-0.020919
587.715001,711.821777,0.218183,-0.020937
595.335445,711.728001,0.232444,-0.022284
602.744186,711.646521,0.247429,-0.022975
609.982492,711.608165,0.261800,-0.023158
619.139279,711.528666,0.279221,-0.023633
628.382303,711.446306,0.297990,-0.023964
637.604412,711.307137,0.318665,-0.024077
646.265430,711.169448,0.341258,-0.023915
653.318491,711.044040,0.362403,-0.025057
660.347865,710.894941,0.387079,-0.026312
667.168313,710.771700,0.415606,-0.027797
675.326716,710.601373,0.451020,-0.030130
