x,y,z,bank_angle
628.274783,711.411944,0.299800,-0.023939
637.253876,711.288984,0.320605,-0.024019
646.089514,711.149024,0.343620,-0.024035
653.215636,711.029948,0.365730,-0.025481
660.151928,710.907578,0.390742,-0.026940
666.953757,710.772204,0.418826,-0.028484
675.211906,710.591163,0.453627,-0.030668
683.371679,710.410417,0.491647,-0.033164
691.479267,710.231131,0.532699,-0.036011
699.501284,710.048629,0.576901,-0.039038
706.078122,709.882818,0.620596,-0.043999
712.613134,709.693030,0.667207,-0.048746
719.128932,709.439553,0.716598,-0.053078
727.098858,709.044971,0.772424,-0.058346
735.190869,708.476806,0.831311,-0.063079
743.437976,707.698654,0.893330,-0.066926
750.287868,706.938615,0.953303,-0.073150
757.146219,705.992271,1.015635,-0.078086
763.939523,704.852605,1.079690,-0.081601
772.109423,703.255900,1.149597,-0.086268
780.171520,701.385515,1.219667,-0.089925
786.740001,699.684844,1.284735,-0.095465
793.235880,697.737068,1.348499,-0.100068
799.705901,695.533448,1.410349,-0.103544
807.577478,692.621511,1.473917,-0.109148
815.480339,689.395204,1.534402,-0.113588
823.336578,685.885167,1.591729,-0.116579
829.754153,682.827323,1.641801,-0.121740
836.069966,679.569942,1.688976,-0.124915
842.277208,676.105661,1.733197,-0.126193
849.669256,671.753466,1.778698,-0.130520
856.874492,667.180278,1.821389,-0.133500
863.908718,662.386381,1.861557,-0.135040
870.764053,657.370491,1.899507,-0.135496
876.287971,653.127655,1.932333,-0.140341
881.683040,648.700875,1.963265,-0.142775
886.970170,644.064484,1.992436,-0.142851
893.304883,638.225234,2.023021,-0.145110
899.482244,632.127336,2.052096,-0.146155
905.555177,625.727220,2.079909,-0.146219
911.485302,619.035082,2.106761,-0.145513
916.308387,613.317861,2.129915,-0.150843
920.952441,607.438226,2.151979,-0.152762
925.399919,601.396778,2.172816,-0.151114
930.573828,593.967118,2.195197,-0.152903
935.476103,586.364005,2.216282,-0.153650
940.121700,578.598399,2.236053,-0.153438
944.499183,570.673726,2.254645,-0.152106
947.949483,564.036142,2.269172,-0.155193
951.132825,557.374633,2.282429,-0.155306
954.030152,550.746153,2.294402,-0.152457
957.305048,542.694865,2.308186,-0.153814
960.267609,534.576547,2.320655,-0.154282
962.938147,526.308551,2.331432,-0.154175
965.324985,517.830983,2.339712,-0.153288
967.426717,509.107130,2.345055,-0.151796
968.956866,501.730707,2.343877,-0.156172
970.221493,494.212052,2.339206,-0.157974
971.220380,486.583766,2.331100,-0.155180
972.233050,477.295268,2.322804,-0.157645
