E,N,U
-550.5776237600487,-1.3066272249662916,353.86154215323955
-550.4620754708455,-1.2677090799298867,355.5156259440127
-550.4706706143486,-1.3030514381125045,361.60088266658914
-550.4058844354054,-1.296510684222767,369.720553818319
-550.2500041618409,-1.2930174159598096,378.6008774478274
-550.1517573343162,-1.2846546786873887,389.3425870690342
-549.9791645094962,-1.2692302295694162,398.91161309416225
-549.8954097488715,-1.2877967028253465,407.99409477921023
-549.8316242203929,-1.2593900144837562,417.26331829151064
-549.7045042474323,-1.2390312626297941,427.1304416607537
-549.6861889628076,-1.1846955740085718,436.974445203046
-549.5401941459277,-1.1963307876527551,446.34302605865366
-549.4186038096818,-1.1779987850919724,455.9488871934141
-549.2747335466313,-1.1067581981268404,466.635774658865
-549.0065241049149,-1.091478636691761,476.7050443941853
-548.1775862299404,-1.0801595686147607,486.681765233096
-546.856743925006,-1.06382840850074,496.84519034155255
-545.3626924400783,-1.010482188135768,506.79873759084404
-543.450070985224,-0.9940636956840194,516.1046638854424
-541.2609518833495,-0.9506531437457966,525.6212912532837
-538.4267050446367,-0.9402108538573088,535.2329475570423
-534.8495571930814,-0.9108110170832333,545.8895907386274
-531.4668092727787,-0.9443140864889301,555.0163558704982
-527.4122728707663,-0.9548062313558034,564.4822765029963
-522.9857493009124,-0.9513004074574383,574.1263318645584
-518.1262140462491,-0.9617367144158777,583.3300533316236
-512.9035961095304,-0.9421528425259851,592.4489352386186
-506.81598299141456,-0.9135551500487793,601.9694790623303
-500.81613305002065,-0.8759151260477722,610.7661966969704
-494.18782418617275,-0.8502396157823853,619.5174494768935
-487.38523540126357,-0.8595024420104664,627.5851114119336
-480.4316658444413,-0.8097361304592994,635.2989814055275
-473.0650468795211,-0.8179455661087331,642.9091499743616
-465.7773253286756,-0.8350923233922174,649.6738586591425
-458.5262599197443,-0.7502408624504824,656.2792431011965
-450.25034198435935,-0.739330715134173,662.873383356999
-441.7212861790868,-0.7203911133556176,669.1865285996395
-433.50096208954636,-0.7174132562687703,674.7715897356911
-424.02813806795916,-0.6974095431831984,680.7531270633947
-414.84518085547904,-0.7163533110980325,685.8866562473517
-406.10530594597134,-0.7002724288674074,690.3700725927569
-397.03014260447895,-0.7001406707672402,694.4388623908527
-387.9905300267696,-0.681001329504312,698.2763718178786
-378.4634888520425,-0.7288288173279511,701.9382219586718
-369.10194914768715,-0.700612182603237,704.9653638489627
-359.9813802153047,-0.6913886038975647,707.6695897944347
-349.34853225081883,-0.6800923842789643,710.3411196476447
-340.1403232494308,-0.6807993345218506,712.1904634868837
-330.76559615728013,-0.6704722341216609,713.6885942553223
-321.263219322933,-0.694103183294942,714.7430021185329
-311.4644047213282,-0.6887082535420745,715.5678223295517
-301.5257367341138,-0.7352594656303495,715.835852127377
-292.21776954414094,-0.7308237648607019,715.8238483394395
-282.94979484589794,-0.7303786977386437,715.5908537692521
-272.58701552628236,-0.7159135578380926,715.4776783117178
-262.58509448331887,-0.710481626837236,715.3773842692898
-252.8007984500597,-0.7130751252704499,715.2865320771556
-242.34808508821553,-0.7326493414468729,715.1168121944139
-232.22513786214927,-0.7532579502926495,714.9933776751088
-223.01488368005894,-0.7469220850011453,714.9368432264151
-214.33204636953658,-0.7366101161419465,714.8161166347284
-205.01298593371007,-0.753287064478144,714.6739140557503
-195.00329273459514,-0.7689588479489942,714.5530614885882
-189.07520222486735,-0.7437709260667589,714.4728522096757
-179.6961795214412,-0.7324885490437651,714.37861511631
-170.05178141162565,-0.7552169223773575,714.3203249808475
-160.28082648757368,-0.7229321119657612,714.0418953488786
-150.24892843097092,-0.7146713704294569,713.899631124118
-141.10529939585987,-0.6944486874199924,713.7805781496821
-131.80067515354244,-0.6792307351947926,713.6161127955494
-121.19027551561139,-0.6850208944126237,713.626259828458
-111.7735065498465,-0.6868299113342573,713.4600696538732
-103.07511740486163,-0.6746759563803693,713.3967338099557
-94.13357593585997,-0.6445161318697927,713.206608812103
-85.63948827668764,-0.608390101736731,713.15271706089
-76.69905266520917,-0.6372588199298193,712.9985611027079
-67.65979815551025,-0.6171380988239363,712.835836362385
-57.98320049596224,-0.6320340310732995,712.7595595140539
-46.99307801947277,-0.6149274721296081,712.6172107721281
-36.71024045873289,-0.6018449091819278,712.4834930903219
-26.87375791284082,-0.5827821794460135,712.3618094260081
-17.681270955310815,-0.5657374748943358,712.2496075651804
-7.825913277849897,-0.5417029092637451,712.1167883357557
2.063861392308974,-0.5566791346239012,711.9437047809721
11.588340334081945,-0.5606769392825379,711.8323272059732
20.576530108583952,-0.543692599768189,711.7689678346582
31.22577553229887,-0.549714659566229,711.5778287255441
41.26545248139127,-0.537759543502343,711.4672625266328
50.844339375721944,-0.5188171480155255,711.3618793142005
59.80921112177561,-0.47988586370813024,711.278825271497
69.079420472649,-0.467963747792723,711.134926678678
78.59946568304888,-0.47706975953749264,711.0946425564314
88.32379391941079,-0.46216901131372623,710.8402110580417
97.62732348710085,-0.4443003090517834,710.798237426174
107.61592567258849,-0.4334485603970677,710.6825386607082
117.480166770285,-0.4406066739413319,710.535158416412
126.92470148603066,-0.42677332367580334,710.4023806177313
135.63974506605166,-0.41294040884160665,710.2876576272167
144.37144122106002,-0.4121169552534809,710.1472363490165
154.00362348118227,-0.4083279766795016,710.0135844757816
163.7612724559449,-0.3975544337520205,709.8585091882519
173.06924218500257,-0.3967936066028557,709.7934089126801
181.9697077774301,-0.40202331634289123,709.6255641207206
192.45463355907782,-0.40231976526929714,709.5166730752895
202.19341429395405,-0.3926128867110492,709.4361173663781
211.84113408214853,-0.3559008590379875,709.2022578094104
220.70940678738788,-0.3301900818222805,709.0918071292261
229.312315024295,-0.3154903732763472,709.0558963073242
238.5247913271175,-0.3148155142160789,708.9334203262803
247.79835053286345,-0.30017263174219977,708.9574032435297
257.6570361038035,-0.2755390826940243,708.730376869028
268.37623534604325,-0.26295790615790793,708.5109787691168
278.4581135360234,-0.259383788820287,708.4440967921691
287.44519074870595,-0.23576754910925501,708.3002331209416
296.5077751120197,-0.24317388898123227,708.2137449770556
305.5348191692367,-0.23357899737936805,708.0150606278143
315.34244332808726,-0.23604960286104415,707.9430652719052
324.5527021858542,-0.17749790481991568,707.8086076227472
334.70563785482807,-0.15800915402982696,707.6749154577653
343.822625514632,-0.10947722899413748,707.511345084059
353.71907545700066,-0.10700886330283765,707.4127917204249
363.32461208711635,-0.08953292338230767,707.2568820015556
372.1329392448773,-0.0630414102997463,707.2509334911515
381.12667901690725,-0.042556410836766645,707.0933681120555
390.2647645699433,-0.048096585899060074,706.9683335728206
399.51833089187016,-0.03966244700453103,706.8912536763522
408.6042224287871,-0.034214886744962314,706.6685859460629
417.0761124685099,-0.05276154126258348,706.6403954666126
425.82446608179345,-0.02432082559130322,706.4571605896875
435.11577561215756,-0.03493180824477804,706.296996921852
443.8430492772808,-0.021535084786137304,706.3004769038442
448.20556558789315,-0.03083019516202512,706.2032912469574
457.3214411670151,-0.02445917752783089,706.0243037405041
466.9336464842846,-0.036148327160617555,705.9420515025663
475.84966748615255,-0.0007942203534696546,705.8084798636015
485.9815105505294,0.0014522726702352884,705.696204984454
495.9712303306378,0.004693709390096501,705.5839435892624
505.36692203756775,0.028964207853988455,705.4940078990562
514.4006338613281,0.05626145497183188,705.3013287875068
523.9873061896938,0.09148806036864698,705.2199420601604
533.6716907530927,0.12668956311898683,705.1608148969625
542.54996188573,0.16095305737349008,705.0298180800611
551.4992968237365,0.18519478385479715,704.9279340113193
561.9653451103286,0.2213053524105817,704.6880200707639
571.3721383236788,0.23248011502585086,704.5732461078118
580.2148903050836,0.259680430422236,704.5672977002182
589.6361123517521,0.22782923051750004,704.4311063598709
599.1073138929781,0.24494794131283015,704.3985487733065
608.3864229647294,0.2940791383378496,704.2914998280809
618.2373697832725,0.287120105461554,704.3762407575848
628.981018973683,0.3420786925569814,704.2699146839788
637.8437488765592,0.3672079763195484,704.1637583605404
647.8878704029455,0.385216804760546,703.9478658209188
656.7761290077628,0.45433399937383,703.6884060331894
666.1329392632776,0.4443946335880469,703.3843592019244
674.5937304266223,0.49251326761884684,703.291947154624
683.4209347226163,0.5015756412228711,703.2508849091456
